covariate,term,kind,mean_treated,mean_control,smd,abs_smd,variance_ratio,ks,stage
functional_impairment,functional_impairment,numeric,0.041401273885350316,0.037422037422037424,0.02045226720827659,0.02045226720827659,1.1017605260409546,0.003979236463312885,before_matching
prior_abdominal_surgery,prior_abdominal_surgery,numeric,0.30254777070063693,0.2661122661122661,0.08083724193123065,0.08083724193123065,1.0804729575782943,0.03643550458837086,before_matching
chronic_pancreatitis,chronic_pancreatitis,numeric,0.05732484076433121,0.04781704781704782,0.04261201070326187,0.04261201070326187,1.1868661910315959,0.009507792947283433,before_matching
kidney_disease,kidney_disease,numeric,0.050955414012738856,0.04781704781704782,0.014484717020946197,0.014484717020946197,1.0621204952775243,0.003138366195691078,before_matching
cardiac_history,cardiac_history,numeric,0.10509554140127389,0.0997920997920998,0.017490438352901393,0.017490438352901393,1.04694045712426,0.005303441609174064,before_matching
year_band,year_band=2016-2017,categorical,0.2898089171974522,0.25571725571725573,0.0766012258601579,0.0766012258601579,1.0814064955925415,0.0340916614801966,before_matching
year_band,year_band=2018-2019,categorical,0.32802547770700635,0.3866943866943867,-0.12265531160095317,0.12265531160095317,0.9294276243895306,0.05866890898738031,before_matching
year_band,year_band=2020-2021,categorical,0.3821656050955414,0.3575883575883576,0.05092519009372876,0.05092519009372876,1.0278432928274592,0.02457724750718382,before_matching
hospital_type,hospital_type=ACADEMIC,categorical,0.4012738853503185,0.35343035343035345,0.09882301441910346,0.09882301441910346,1.0513563462985513,0.04784353191996504,before_matching
hospital_type,hospital_type=PRIVATE,categorical,0.20382165605095542,0.3284823284823285,-0.2849209750334559,0.2849209750334559,0.7356838629000221,0.12466067243137313,before_matching
hospital_type,hospital_type=PUBLIC,categorical,0.39490445859872614,0.3180873180873181,0.16090002208587384,0.16090002208587384,1.1016429719976584,0.07681714051140809,before_matching
neoadjuvant,neoadjuvant,numeric,0.08598726114649681,0.10602910602910603,-0.06806952352509976,0.06806952352509976,0.8291591273906995,0.020041844882609183,before_matching
age_years,age_years,numeric,59.61201550387596,60.29302325581396,-0.0474419039959513,0.0474419039959513,0.9289898259454459,0.06201550387596899,after_matching
sex,sex=FEMALE,categorical,0.5697674418604651,0.5542635658914729,0.031252861415910944,0.031252861415910944,0.9922164791730009,0.015503875968992276,after_matching
sex,sex=MALE,categorical,0.43023255813953487,0.44573643410852715,-0.031252861415910944,0.031252861415910944,0.9922164791730009,0.015503875968992276,after_matching
bmi,bmi,numeric,26.035658914728682,25.994961240310076,0.008258179733113713,0.008258179733113713,1.285474403025184,0.04263565891472865,after_matching
asa_ge3,asa_ge3,numeric,0.41472868217054265,0.4069767441860465,0.01575682627714413,0.01575682627714413,1.0057267351384998,0.007751937984496138,after_matching
cci,cci,numeric,1.313953488372093,1.3565891472868217,-0.03632747823434124,0.03632747823434124,0.8943904958677685,0.023255813953488413,after_matching
malignant_case,malignant_case,numeric,0.3178294573643411,0.3178294573643411,0.0,0.0,0.9999999999999999,0.0,after_matching
pathology_group,pathology_group=DUCTAL_ADENOCARCINOMA,categorical,0.2558139534883721,0.25193798449612403,0.008905704661869721,0.008905704661869721,1.010123555201275,0.003875968992248069,after_matching
pathology_group,pathology_group=IPMN,categorical,0.15891472868217055,0.15891472868217055,0.0,0.0,1.0,0.0,after_matching
pathology_group,pathology_group=NEUROENDOCRINE,categorical,0.21705426356589147,0.24806201550387597,-0.07344706030581309,0.07344706030581309,0.9110824742268042,0.03100775193798444,after_matching
pathology_group,pathology_group=OTHER,categorical,0.313953488372093,0.2713178294573643,0.09381343243234791,0.09381343243234791,1.089437689969605,0.04263565891472865,after_matching
pathology_group,pathology_group=SOLID_PSEUDOPAPILLARY,categorical,0.05426356589147287,0.06976744186046512,-0.06431566413843316,0.06431566413843316,0.7907407407407407,0.015503875968992276,after_matching
tumor_size_mm,tumor_size_mm,numeric,32.02209302325582,32.96046511627907,-0.04980946325160436,0.04980946325160436,1.0435536793309845,0.12790697674418605,after_matching
functional_impairment,functional_impairment,numeric,0.03488372093023256,0.04263565891472868,-0.04016906586366955,0.04016906586366955,0.8248067721751936,0.007751937984496138,after_matching
prior_abdominal_surgery,prior_abdominal_surgery,numeric,0.29069767441860467,0.29844961240310075,-0.017006040342805527,0.017006040342805527,0.9847886919710124,0.007751937984496138,after_matching
chronic_pancreatitis,chronic_pancreatitis,numeric,0.04263565891472868,0.027131782945736434,0.0845720775351665,0.0845720775351665,1.5463858850313026,0.015503875968992165,after_matching
kidney_disease,kidney_disease,numeric,0.050387596899224806,0.05426356589147287,-0.017406446975290226,0.017406446975290226,0.9323770491803287,0.003875968992248069,after_matching
cardiac_history,cardiac_history,numeric,0.09689922480620156,0.10077519379844961,-0.012987560627190609,0.012987560627190609,0.965683023872679,0.003875968992248069,after_matching
year_band,year_band=2016-2017,categorical,0.29069767441860467,0.29069767441860467,0.0,0.0,1.0,0.0,after_matching
year_band,year_band=2018-2019,categorical,0.34108527131782945,0.34108527131782945,0.0,0.0,1.0,0.0,after_matching
year_band,year_band=2020-2021,categorical,0.3682170542635659,0.3682170542635659,0.0,0.0,1.0,0.0,after_matching
hospital_type,hospital_type=ACADEMIC,categorical,0.3953488372093023,0.3953488372093023,0.0,0.0,1.0,0.0,after_matching
hospital_type,hospital_type=PRIVATE,categorical,0.2131782945736434,0.2131782945736434,0.0,0.0,1.0,0.0,after_matching
hospital_type,hospital_type=PUBLIC,categorical,0.39147286821705424,0.39147286821705424,0.0,0.0,1.0,0.0,after_matching
neoadjuvant,neoadjuvant,numeric,0.03875968992248062,0.03875968992248062,0.0,0.0,1.0,0.0,after_matching
